gs,woodiness,woodiness.count
Delphinium gracile,H,1;0;0
Delphinium grandiflorum,H,3;0;0
Delphinium nelsonii,H,1;0;0
Delphinium pictum,H,4;0;0
Delphinium tricorne,H,1;0;0
Delpydora gracilis,W,0;0;1
Delpydora macrophylla,W,0;0;1
Dendranthema indicum,H,1;0;0
Dendrobangia boliviana,W,0;0;11
Dendrobium acinaciforme,H,1;0;0
Dendrobium aemulum,H,1;0;0
Dendrobium aggregatum,H,1;0;0
Dendrobium aphyllum,H,1;0;0
Dendrobium attenuatum,H,1;0;0
Dendrobium capillipes,H,1;0;0
Dendrobium chrysanthum,H,1;0;0
Dendrobium chryseum,H,1;0;0
Dendrobium chrysotoxum,H,1;0;0
Dendrobium crepidatum,H,1;0;0
Dendrobium crystallinum,H,1;0;0
Dendrobium cunninghamii,H,5;0;2
Dendrobium fimbriatum,H,1;0;0
Dendrobium hancockii,H,1;0;0
Dendrobium kingianum,H,1;0;0
Dendrobium linguiforme,H,1;0;0
Dendrobium loddigesii,H,1;0;0
Dendrobium macropus,H,1;0;0
Dendrobium nobile,H,1;0;0
Dendrobium officinale,H,1;0;0
Dendrobium prasinum,H,1;0;0
Dendrobium primulinum,H,1;0;0
Dendrobium pugioniforme,H,1;0;0
Dendrobium salaccense,H,1;0;0
Dendrobium secundum,H,1;0;0
Dendrobium speciosum,H,1;0;0
Dendrobium striolatum,H,1;0;0
Dendrobium taurinum,H,1;0;0
Dendrocalamus asper,W,0;0;3
Dendrocalamus brandisii,W,0;0;3
Dendrocalamus giganteus,W,0;0;3
Dendrocalamus strictus,W,0;0;3
Dendrochilum cobbianum,H,1;0;0
Dendrochilum glumaceum,H,1;0;0
Dendrochilum longifolium,H,1;0;0
Dendrocnide excelsa,W,0;0;7
Dendrocnide moroides,W,0;0;2
Dendrocnide photinophylla,W,0;0;7
Dendrolobium umbellatum,W,0;0;2
Dendrolycopodium dendroideum,H,1;0;0
Dendrolycopodium hickeyi,H,1;0;0
Dendrolycopodium juniperoideum,H,1;0;0
Dendrolycopodium obscurum,H,1;0;0
Dendromecon harfordii,W,0;0;1
Dendromecon rigida,W,0;0;2
Dendromecon rigidum,W,0;0;2
Dendropanax arboreus,W,0;0;44
Dendropanax chevalieri,W,0;0;1
Dendropanax pendulus,W,0;0;6
Dendropanax querceti,W,0;0;1
Dendropanax sessiliflorus,W,0;0;1
Dendropanax stenodontus,W,0;0;4
Dendropanax trifidus,W,0;0;4
Dendropemon bicolor,W,0;0;1
Dendrophthoe curvata,W,0;0;1
Dendrophthoe glabrescens,W,0;0;1
Dendrophthoe vitellina,W,0;0;1
Dendrophthora clavata,W,0;0;1
Dendrophylax barrettiae,H,1;0;0
Dendrophylax fawcettii,H,1;0;0
Dendrophylax funalis,H,1;0;0
Dendrophylax lindenii,H,1;0;0
Dendrophylax porrectus,H,1;0;0
Dendrophylax sallei,H,1;0;0
Dendrophylax varius,H,1;0;0
Dendroseris berteroana,W,0;0;1
Dendroseris litoralis,W,0;0;1
Dendroseris micrantha,W,0;0;1
Dendroseris pinnata,W,0;0;1
Dendroseris pruinata,W,0;0;1
Dendrosicyos socotranus,W,0;0;1
Dendrotrophe varians,W,0;0;1
Denhamia celastroides,W,0;0;7
Denhamia oleaster,W,0;0;1
Denhamia pittosporoides,W,0;0;1
Dennstaedtia punctilobula,H,1;0;0
Dentaria diphylla,H,1;0;0
Dentaria laciniata,H,4;0;0
Deparia acrostichoides,H,1;0;0
Deplanchea bancana,W,0;0;2
Deplanchea speciosa,W,0;0;1
Deplanchea tetraphylla,W,0;0;10
Deppea grandiflora,W,0;0;1
Dermatobotrys saundersii,H,1;0;0
Derris amazonica,W,0;0;1
Derris dalbergioides,W,0;0;1
Derris elliptica,variable,0;1;0
Derris hatschbachii,W,0;0;1
Derris involuta,W,0;0;3
Derris laxiflora,variable,0;1;0
Derris microphylla,W,0;0;1
Derris rariflora,W,0;0;2
Derris robusta,W,0;0;1
Derris spruceana,W,0;0;1
Derwentia nivea,H,1;0;0
Desbordesia glaucescens,W,0;0;8
Desbordesia insignis,W,0;0;1
Desbordesia pierreana,W,0;0;1
Deschampsia antarctica,H,5;0;0
Deschampsia atropurpurea,H,1;0;0
Deschampsia cespitosa,H,32;0;0
Deschampsia chapmanii,H,3;0;0
Deschampsia flexuosa,H,35;0;0
Deschampsia gracillima,H,1;0;0
Deschampsia littoralis,H,2;0;0
Deschampsia media,H,1;0;0
Deschampsia pusilla,H,1;0;0
Deschampsia setacea,H,1;0;0
Deschampsia tenella,H,1;0;0
Descurainia sophia,H,6;0;0
Desfontainia spinosa,W,0;0;2
Desideria himalayensis,H,1;0;0
Desideria linearis,H,1;0;0
Desideria stewartii,H,1;0;0
Desmanthodium fruticosum,W,0;0;1
Desmanthus acuminatus,H,1;0;0
Desmanthus balsensis,W,0;0;1
Desmanthus bicornutus,H,1;0;0
Desmanthus cooleyi,H,1;0;0
Desmazeria rigida,H,7;0;0
Desmocladus castaneus,H,1;0;0
Desmocladus diacolpicus,H,1;0;0
Desmodium canadense,H,5;0;0
Desmodium caudatum,W,0;0;2
Desmodium gangeticum,H,1;0;0
Desmodium glutinosum,H,4;0;0
Desmodium grahamii,H,1;0;0
Desmodium pauciflorum,H,1;0;0
Desmodium podocarpum,W,0;0;1
Desmodium psilocarpum,H,1;0;0
Desmodium rhytidophyllum,H,2;0;0
Desmodium rosei,H,1;0;0
Desmodium sandwicense,W,0;0;1
Desmodium tortuosum,H,1;0;0
Desmodium umbellatum,W,0;0;1
Desmodium velutinum,H,1;0;0
Desmoncus giganteus,W,0;0;3
Desmoncus isthmius,W,0;0;2
Desmoncus mitis,W,0;0;3
Desmoncus orthacanthos,W,0;0;1
Desmoncus phoenicocarpus,W,0;0;3
Desmoncus polyacanthos,W,0;0;2
Desmoncus stans,W,0;0;3
Desmopsis bibracteata,W,0;0;1
Desmopsis drummondii,W,0;0;1
Desmopsis heteropetala,W,0;0;1
Desmopsis lanceolata,W,0;0;1
Desmopsis maxonii,W,0;0;1
Desmopsis microcarpa,W,0;0;3
Desmopsis oerstedii,W,0;0;1
Desmopsis panamensis,W,0;0;9
Desmopsis schippii,W,0;0;2
Desmopsis stenopetala,W,0;0;1
Desmos goezeanus,W,0;0;1
Desmos lawii,W,0;0;1
Desmoschoenus spiralis,H,2;0;0
Desmostachya bipinnata,H,1;0;0
Desmostachys vogelii,W,0;0;1
Desplatsia dewevrei,W,0;0;1
Detarium microcarpum,W,0;0;3
Detarium senegalense,W,0;0;8
Deuterocohnia longipetala,H,1;0;0
Deuterocohnia lotteae,H,1;0;0
Deuterocohnia meziana,H,1;0;0
Deutzia gracilis,W,0;0;1
Deutzia pulchra,W,0;0;1
Deutzia rubens,W,0;0;1
Deutzia scabra,W,0;0;1
Deverra denudata,H,1;0;0
Dewevrea bilabiata,W,0;0;1
Deyeuxia apsleyensis,H,1;0;0
Deyeuxia arundinacea,H,1;0;0
Deyeuxia breviglumis,H,1;0;0
Deyeuxia scaberula,H,1;0;0
Diacidia ferruginea,W,0;0;1
Diacidia vestita,W,0;0;1
Dialium bipindense,W,0;0;3
Dialium cochinchinense,W,0;0;2
Dialium corbisieri,W,0;0;3
Dialium dinklagei,W,0;0;7
Dialium englerianum,W,0;0;1
Dialium excelsum,W,0;0;2
Dialium guianense,W,0;0;27
Dialium guineense,W,0;0;8
Dialium holtzii,W,0;0;1
Dialium hydnocarpoides,W,0;0;3
Dialium indum,W,0;0;6
Dialium kingii,W,0;0;1
Dialium kunstleri,W,0;0;1
Dialium laurinum,W,0;0;1
Dialium maingayi,W,0;0;1
Dialium modestum,W,0;0;1
Dialium orientale,W,0;0;1
Dialium pachyphyllum,W,0;0;7
Dialium patens,W,0;0;1
Dialium platysepalum,W,0;0;6
Dialium procerum,W,0;0;1
Dialium schlechteri,W,0;0;5
Dialium soyauxii,W,0;0;1
Dialium wallichii,W,0;0;1
Dialyceras coriaceum,W,0;0;1
Dialyceras parvifolium,W,0;0;1
Dialypetalanthus fuscescens,W,0;0;2
Dianella brevipedunculata,H,1;0;0
Dianella caerulea,H,14;0;0
Dianella haematica,H,1;0;0
Dianella intermedia,H,4;0;0
Dianella laevis,H,5;0;0
Dianella longifolia,H,2;0;0
Dianella montana,H,1;0;0
Dianella nemorosa,H,1;0;0
Dianella nigra,H,4;0;0
Dianella revoluta,H,10;0;0
Dianthus acicularis,H,4;0;0
Dianthus arenarius,H,1;0;0
Dianthus armeria,H,1;0;0
Dianthus barbatus,H,1;0;0
Dianthus carthusianorum,H,1;0;0
Dianthus caryophyllus,H,3;0;0
Dianthus charidemi,W,0;0;1
Dianthus chinensis,H,2;0;0
Dianthus deltoides,H,1;0;0
Dianthus gratianopolitanus,H,1;0;0
Dianthus namaensis,H,1;0;0
Dianthus rupicola,H,4;0;0
Dianthus seguieri,H,2;0;0
Dianthus superbus,H,3;0;0
Dianthus sylvestris,H,2;0;0
Dianthus versicolor,H,4;0;0
Diapensia lapponica,W,1;0;4
Diaphananthe fragrantissima,H,1;0;0
Diaphananthe lorifolia,H,1;0;0
Diaphananthe millarii,H,1;0;0
Diaphananthe pellucida,H,1;0;0
Diarrhena americana,H,1;0;0
Diarrhena obovata,H,1;0;0
Diarthron linifolium,H,1;0;0
Diascia barberae,H,1;0;0
Diascia capsularis,H,1;0;0
Diascia longicornis,H,1;0;0
Diaspasis filifolia,variable,0;1;0
Diastatea micrantha,H,1;0;0
Diastella buekii,W,0;0;1
Diastella divaricata,W,0;0;4
Diastella parilis,W,0;0;1
Diastema racemiferum,H,1;0;0
Diatenopteryx sorbifolia,W,0;0;3
Dicaelospermum ritchiei,H,1;0;0
Dicarpellum pancheri,W,0;0;1
Dicella nucifera,variable,0;1;0
Dicentra canadensis,H,1;0;0
Dicentra chrysantha,W,0;0;1
Dicentra cucullaria,H,1;0;0
Dicentra eximia,H,1;0;0
Dicentra spectabilis,H,1;0;0
Diceratostele gabonensis,H,1;0;0
Dichaea campanulata,H,1;0;0
Dichaea morrisii,H,1;0;0
Dichaea muricata,H,1;0;0
Dichaea neglecta,H,1;0;0
Dichaea panamensis,H,1;0;0
Dichaea riopalenquensis,H,1;0;0
Dichaea squarrosa,H,1;0;0
Dichaetanthera asperrima,W,0;0;1
Dichanthelium acuminatum,H,2;0;0
Dichanthelium boscii,H,1;0;0
Dichanthelium cumbucanum,H,1;0;0
Dichanthelium koolauense,H,1;0;0
Dichanthelium lanuginosum,H,1;0;0
Dichanthelium oligosanthes,H,1;0;0
Dichanthelium sabulorum,H,1;0;0
Dichanthium annulatum,H,2;0;0
Dichanthium aristatum,H,2;0;0
Dichanthium caricosum,H,1;0;0
Dichanthium ischaemum,H,6;0;0
Dichanthium sericeum,H,7;0;0
Dichapetalum angolense,W,0;0;1
Dichapetalum axillare,W,0;0;2
Dichapetalum barteri,W,0;0;1
Dichapetalum bellum,W,0;0;1
Dichapetalum brownii,W,0;0;1
Dichapetalum choristilum,W,0;0;1
Dichapetalum congoense,W,0;0;1
Dichapetalum crassifolium,W,0;0;1
Dichapetalum dewevrei,W,0;0;1
Dichapetalum donnell-smithii,W,0;0;3
Dichapetalum gabonense,W,0;0;1
Dichapetalum heudelotii,W,0;0;1
Dichapetalum librevillense,W,0;0;1
Dichapetalum longepedunculatum,W,0;0;1
Dichapetalum macrocarpum,W,0;0;1
Dichapetalum madagascariense,W,0;0;1
Dichapetalum mombuttense,W,0;0;1
Dichapetalum mundense,W,0;0;1
Dichapetalum pallidum,W,0;0;1
Dichapetalum papuanum,W,0;0;1
Dichapetalum parvifolium,W,0;0;1
Dichapetalum pedunculatum,W,0;0;1
Dichapetalum rugosum,W,0;0;1
Dichapetalum spruceanum,W,0;0;2
Dichapetalum stipulatum,W,0;0;1
Dichapetalum tomentosum,W,0;0;1
Dichapetalum zenkeri,W,0;0;1
Dichelachne crinita,H,4;0;0
Dichelachne inaequiglumis,H,1;0;0
Dichelachne lautumia,H,1;0;0
Dichelachne micrantha,H,4;0;0
Dichelachne rara,H,1;0;0
Dichelachne sieberiana,H,1;0;0
Dichelostemma capitatum,H,2;0;0
Dichelostemma congestum,H,2;0;0
Dichelostemma ida,H,1;0;0
Dichelostemma multiflorum,H,1;0;0
Dichelostemma volubile,H,1;0;0
Dichilus lebeckioides,W,0;0;1
Dichocarpum sutchuenense,H,1;0;0
Dichondra brachypoda,H,1;0;0
Dichondra occidentalis,H,1;0;0
Dichondra repens,H,15;0;0
Dichopogon capillipes,H,1;0;0
Dichopogon fimbriatus,H,1;0;0
Dichopogon strictus,H,1;0;0
Dichopsis pustulata,W,0;0;1
Dichorisandra thyrsiflora,H,2;0;0
Dichosciadium ranunculaceum,H,1;0;0
Dichostemma caloneura,W,0;0;2
Dichostemma glaucescens,W,0;0;4
Dichotomanthes tristaniaecarpa,W,0;0;1
Dichroa febrifuga,W,0;0;1
Dichrostachys cinerea,W,0;0;3
Dichrostachys paucifoliolata,W,0;0;1
Dichrostachys richardiana,W,0;0;1
Dichrostachys spicata,W,0;0;2
Dichrostachys unijuga,W,0;0;1
Dichrostachys venosa,W,0;0;1
Dicksonia antarctica,W,0;0;1
Dicksonia baudouinii,W,0;0;1
Dicksonia fibrosia,W,0;0;1
Dicksonia herbertii,W,0;0;1
Dicksonia sellowiana,W,0;0;1
Dicksonia squarrosa,W,0;0;2
Dicksonia thyrsopteroide,W,0;0;1
Dicksonia youngiae,W,0;0;1
Diclinanona calycina,W,0;0;1
Diclinanona tessmannii,W,0;0;1
Dicliptera coerulea,H,1;0;0
Dicliptera japonica,H,1;0;0
Dicliptera maclearii,H,1;0;0
Dicliptera multiflora,H,1;0;0
Dicliptera unguiculata,H,1;0;0
Diclis reptans,H,1;0;0
Dicoelia beccariana,W,0;0;1
Dicoma picta,variable,0;1;0
Dicorynia guianensis,W,0;0;19
Dicoryphe stipulacea,W,0;0;1
Dicranolepis usambarica,W,0;0;1
Dicranopteris dichotoma,H,1;0;0
Dicranopteris linearis,H,3;0;1
Dicranostigma franchetianum,H,1;0;0
Dicranostyles ampla,variable,0;1;0
Dicranostyles mildbraediana,variable,0;1;0
Dicranostyles villosus,variable,0;1;0
Dicraspidia donnell,W,0;0;1
Dicrastylis reticulata,W,0;0;1
Dictyandra arborescens,W,0;0;2
Dictyocaryum fuscum,W,0;0;3
Dictyocaryum lamarckianum,W,0;0;1
Dictyocaryum ptarianum,W,0;0;3
Dictyolimon macrorrhabdos,H,1;0;0
Dictyoloma vandellianum,W,0;0;1
Dictyophleba lucida,W,0;0;1
Dictyosperma album,W,0;0;1
Dicymbe altsonii,W,0;0;5
Dicymbe corymbosa,W,0;0;1
Dicypellium caryophyllaceum,W,0;0;1
Dicypellium caryophyllatum,W,0;0;1
Didelotia africana,W,0;0;4
Didelotia brevipaniculata,W,0;0;3
Didelotia idae,W,0;0;1
Didelotia letouzeyi,W,0;0;4
Didelta carnosa,W,0;0;1
Didelta spinosa,W,0;0;1
Didierea trollii,W,0;0;1
Didissandra frutescens,W,0;0;1
Didymaea alsinoides,H,1;0;0
Didymeles integrifolia,W,0;0;1
Didymeles perrieri,W,0;0;1
Didymocarpus fimbrisepalus,H,1;0;0
Didymocistus chrysadenius,W,0;0;1
Didymodoxa caffra,H,1;0;0
Didymopanax macrocarpus,W,0;0;3
Didymopanax morototoni,W,0;0;3
Didymopanax vinosum,W,0;0;1
Didymoplexis pallens,H,1;0;0
Didymosalpinx norae,W,0;0;2
Dieffenbachia aglaonematifolia,H,1;0;0
Dieffenbachia humilis,H,1;0;0
Dieffenbachia maculata,H,1;0;0
Dieffenbachia oerstedii,H,1;0;0
Dieffenbachia parlatorei,H,1;0;0
Dieffenbachia pittieri,H,2;0;1
Dieffenbachia seguine,H,2;0;0
Diegodendron humbertii,W,0;0;2
Dielitzia tysonii,H,1;0;0
Diellia erecta,H,1;0;0
Diellia falcata,H,1;0;0
Diellia mannii,H,1;0;0
Diellia pallida,H,1;0;0
Diellia unisora,H,1;0;0
Dielsia stenostachya,H,1;0;0
Dierama argyreum,H,1;0;0
Dierama atrum,H,1;0;0
Dierama cooperi,H,1;0;0
Dierama davyi,H,1;0;0
Dierama densiflorum,H,1;0;0
Dierama dubium,H,1;0;0
Dierama elatum,H,1;0;0
Dierama galpinii,H,1;0;0
Dierama gracile,H,1;0;0
Dierama grandiflorum,H,1;0;0
Dierama insigne,H,1;0;0
Dierama latifolium,H,1;0;0
Dierama longiflorum,H,1;0;0
Dierama luteoalbidum,H,1;0;0
Dierama medium,H,1;0;0
Dierama palustre,H,1;0;0
Dierama pansum,H,1;0;0
Dierama pauciflorum,H,1;0;0
Dierama pendulum,H,1;0;0
Dierama pictum,H,1;0;0
Dierama pulcherrimum,H,1;0;0
Dierama reynoldsii,H,1;0;0
Dierama robustum,H,2;0;0
Dierama rupestre,H,1;0;0
Dierama trichorhizum,H,1;0;0
Dierama tyrium,H,1;0;0
Dierama tysonii,H,1;0;0
Dierama vagum,H,1;0;0
Diervilla canadensis,W,0;0;1
Diervilla lonicera,W,0;0;5
Diervilla rivularis,W,0;0;1
Diervilla sessilifolia,W,0;0;1
Dieterlea fusiformis,W,0;0;1
Dieterlea maxima,H,1;0;0
Dietes bicolor,H,1;0;0
Dietes butcheriana,H,1;0;0
Dietes flavida,H,1;0;0
Dietes iridioides,H,1;0;0
Dietes robinsoniana,H,4;0;0
Digitalis grandiflora,H,6;0;0
Digitalis purpurea,H,8;0;0
Digitaria abyssinica,H,1;0;0
Digitaria brownii,H,6;0;0
Digitaria caledonica,H,1;0;0
Digitaria chinensis,H,1;0;0
Digitaria ciliaris,H,7;0;0
Digitaria coenicola,H,6;0;0
Digitaria cognata,H,2;0;0
Digitaria ctenantha,H,1;0;0
Digitaria decumbens,H,1;0;0
Digitaria filiformis,H,1;0;0
Digitaria horizontalis,H,1;0;0
Digitaria ischaemum,H,5;0;0
Digitaria longiflora,H,1;0;0
Digitaria mariannensis,H,1;0;0
Digitaria parviflora,H,1;0;0
Digitaria radicosa,H,2;0;0
Digitaria sanguinalis,H,7;0;0
Digitaria setigera,H,4;0;0
Digitaria violascens,H,7;0;0
Digomphia laurifolia,W,0;0;1
Dilatris ixioides,H,1;0;0
Dilatris pillansii,H,2;0;0
Dilatris viscosa,H,1;0;0
Dillenia alata,W,0;0;5
Dillenia aurea,W,0;0;3
Dillenia biflora,W,0;0;1
Dillenia borneensis,W,0;0;1
Dillenia celebica,W,0;0;1
Dillenia excelsa,W,0;0;2
Dillenia eximia,W,0;0;1
Dillenia ferruginea,W,0;0;2
Dillenia grandifolia,W,0;0;3
Dillenia indica,W,0;0;6
Dillenia luzoniensis,W,0;0;1
Dillenia megalantha,W,0;0;1
Dillenia oblonga,W,0;0;1
Dillenia obovata,W,0;0;1
Dillenia ochreata,W,0;0;1
Dillenia ovalifolia,W,0;0;1
Dillenia papuana,W,0;0;2
Dillenia parviflora,W,0;0;1
Dillenia pentagyna,W,0;0;3
Dillenia philippinensis,W,0;0;3
Dillenia pulchella,W,0;0;2
Dillenia pulcherrima,W,0;0;1
Dillenia reticulata,W,0;0;2
Dillenia retusa,W,0;0;1
Dillenia serrata,W,0;0;1
Dillenia suffruticosa,W,0;0;4
Dillenia sumatrana,W,0;0;1
Dillwynia floribunda,W,0;0;2
Dillwynia hispida,W,0;0;1
Dillwynia juniperina,W,0;0;1
Dillwynia retorta,W,0;0;10
Dillwynia rudis,W,0;0;1
Dillwynia sericea,W,0;0;5
Dillwynia uncinata,W,0;0;1
Dilobeia tenuinervis,W,0;0;1
Dilobeia thouarsii,W,0;0;6
Dilodendron bipinnatum,W,0;0;1
Dilodendron elegans,W,0;0;3
Dilomilis montana,H,1;0;0
Dilophia salsa,H,1;0;0
Dimerandra emarginata,H,2;0;0
Dimeresia howellii,H,1;0;0
Dimeria kanjirapallilana,H,1;0;0
Dimeria lawsonii,H,1;0;0
Dimeria ornithopoda,H,2;0;0
Dimeria thwaitesii,H,1;0;0
Dimerocostus argenteus,W,2;0;3
Dimerocostus strobilaceus,W,2;0;3
Dimerostemma annuum,H,1;0;0
Dimerostemma brasilianum,variable,0;1;0
Dimerostemma vestitum,variable,0;1;0
Dimocarpus australianus,W,0;0;1
Dimocarpus dentatus,W,0;0;1
Dimocarpus longan,W,0;0;5
Dimorphandra conjugata,W,0;0;4
Dimorphandra davisii,W,0;0;1
Dimorphandra macrostachya,W,0;0;2
Dimorphandra mora,W,0;0;1
Dimorphandra parviflora,W,0;0;1
Dimorphandra polyandra,W,0;0;3
Dimorphandra pullei,W,0;0;1
Dimorphanthera denticulifera,W,0;0;1
Dimorphanthera kempteriana,W,0;0;1
Dimorphanthera microphylla,W,0;0;1
Dimorphocalyx malayanus,W,0;0;1
Dimorphocalyx murinus,W,0;0;1
Dimorphocarpa wislizenii,H,1;0;0
Dimorphorchis lowii,H,1;0;0
Dimorphotheca pluvialis,H,1;0;0
Dimorphotheca sinuata,H,1;0;0
Dinebra retroflexa,H,1;0;0
Dinema polybulbon,H,1;0;0
Dinemagonum gayanum,W,0;0;1
Dinemandra ericoides,W,0;0;1
Dinetus truncatus,H,1;0;0
Dinizia excelsa,W,0;0;14
Dioclea glabra,W,0;0;1
Dioclea guianensis,W,0;0;5
Dioclea reflexa,W,0;0;2
Dioclea ucayalina,W,0;0;1
Dioclea virgata,W,0;0;1
Dioclea wilsonii,W,0;0;5
Diodella teres,H,1;0;0
Diodia sarmentosa,H,1;0;0
Diogenesia racemosa,W,0;0;1
Diogoa zenkeri,W,0;0;4
Dionaea muscipula,H,1;0;0
Dioncophyllum tholloni,variable,0;1;0
Dioncophyllum thollonii,W,0;0;1
Dionysia diapensiifolia,H,1;0;0
Dionysia esfandiarii,H,1;0;0
Dionysia involucrata,H,1;0;0
Dionysia janthina,H,1;0;0
Dionysia leucotricha,H,1;0;0
Dionysia lurorum,H,1;0;0
Dionysia microphylla,H,1;0;0
Dionysia mira,H,1;0;0
Dionysia paradoxa,H,1;0;0
Dionysia tapetodes,H,1;0;0
Dioon angustifolium,W,0;0;1
Dioon califanoi,W,0;0;1
Dioon caputoi,W,0;0;1
Dioon edule,W,0;0;1
Dioon holmgrenii,W,0;0;1
Dioon mejiae,W,0;0;1
Dioon merolae,W,0;0;1
Dioon purpusii,W,0;0;1
Dioon queretara,W,0;0;1
Dioon rzedowskii,W,0;0;1
Dioon sonorense,W,0;0;1
Dioon spinulosum,W,0;0;1
Dioon tomasellii,W,0;0;1
Dioscorea abyssinica,H,1;0;0
Dioscorea adenocarpa,H,1;0;0
Dioscorea alata,H,1;0;0
Dioscorea alatipes,H,1;0;0
Dioscorea altissima,H,1;0;0
Dioscorea amaranthoides,H,1;0;0
Dioscorea antaly,H,2;0;0
Dioscorea apurimacensis,H,1;0;0
Dioscorea arachidna,H,1;0;0
Dioscorea arcuatinervis,H,1;0;0
Dioscorea asteriscus,H,1;0;0
Dioscorea banzhuana,H,1;0;0
Dioscorea bemarivensis,H,2;0;0
Dioscorea birmanica,H,1;0;0
Dioscorea brachybotrya,H,2;0;0
Dioscorea brevipetiolata,H,1;0;0
Dioscorea brownii,H,1;0;0
Dioscorea bryoniifolia,H,2;0;0
Dioscorea buchananii,H,1;0;0
Dioscorea bulbifera,H,2;0;0
Dioscorea caucasica,H,1;0;0
Dioscorea cayenensis,H,1;0;0
Dioscorea ceratandra,H,1;0;0
Dioscorea cirrhosa,H,1;0;0
Dioscorea collettii,H,1;0;0
Dioscorea colvoceae,H,1;0;0
Dioscorea communis,H,2;0;0
Dioscorea composita,H,2;0;0
Dioscorea convolvulacea,H,1;0;0
Dioscorea cotinifolia,H,2;0;0
Dioscorea cyanisticta,H,1;0;0
Dioscorea cymosula,H,1;0;0
Dioscorea daunea,H,1;0;0
Dioscorea decipiens,H,1;0;0
Dioscorea delavayi,H,1;0;0
Dioscorea dodecaneura,H,1;0;0
Dioscorea dugesii,H,1;0;0
Dioscorea dumetorum,H,2;0;0
Dioscorea elephantipes,H,1;0;0
Dioscorea elephantopus,H,1;0;0
Dioscorea esculenta,H,1;0;0
Dioscorea esquirolii,H,1;0;0
Dioscorea exalata,H,1;0;0
Dioscorea fandra,H,2;0;0
Dioscorea fendleri,H,1;0;0
Dioscorea floribunda,H,1;0;0
Dioscorea fordii,H,1;0;0
Dioscorea futschauensis,H,1;0;0
Dioscorea galeottiana,H,1;0;0
Dioscorea gillettii,H,2;0;0
Dioscorea glabra,H,1;0;0
Dioscorea glomerulata,H,1;0;0
Dioscorea gracillima,H,1;0;0
Dioscorea guerrerensis,H,1;0;0
Dioscorea hamiltonii,H,2;0;0
Dioscorea hastifolia,H,1;0;0
Dioscorea heteropoda,H,1;0;0
Dioscorea hexagona,H,1;0;0
Dioscorea hirtiflora,H,1;0;0
Dioscorea hispida,H,1;0;0
Dioscorea hombuka,H,1;0;0
Dioscorea inopinata,H,1;0;0
Dioscorea japonica,H,2;0;0
Dioscorea kamoonensis,H,1;0;0
Dioscorea karatana,H,1;0;0
Dioscorea lanata,H,1;0;0
Dioscorea larecajensis,H,1;0;0
Dioscorea longicuspis,H,1;0;0
Dioscorea longirhiza,H,1;0;0
Dioscorea maciba,H,2;0;0
Dioscorea macrocapsa,H,1;0;0
Dioscorea macrocarpa,H,1;0;0
Dioscorea mcvaughii,H,1;0;0
Dioscorea megacarpa,H,1;0;0
Dioscorea melanophyma,H,1;0;0
Dioscorea melastomatifolia,H,1;0;0
Dioscorea membranacea,H,1;0;0
Dioscorea mexicana,H,1;0;0
Dioscorea minima,H,1;0;0
Dioscorea minutiflora,H,1;0;0
Dioscorea modesta,H,1;0;0
Dioscorea monandra,H,1;0;0
Dioscorea namorokensis,H,1;0;0
Dioscorea nipponica,H,2;0;0
Dioscorea oppositifolia,H,2;0;0
Dioscorea orientalis,H,1;0;0
Dioscorea oryzetorum,H,1;0;0
Dioscorea ovinala,H,1;0;0
Dioscorea pentaphylla,H,2;0;0
Dioscorea persimilis,H,2;0;0
Dioscorea petelotii,H,1;0;0
Dioscorea polygonoides,H,1;0;0
Dioscorea polystachya,H,2;0;0
Dioscorea praehensilis,H,1;0;0
Dioscorea prazeri,H,1;0;0
Dioscorea preussii,H,3;0;0
Dioscorea pseudomacrocapsa,H,1;0;0
Dioscorea pseudonitens,H,1;0;0
Dioscorea pteropoda,H,1;0;0
Dioscorea pyrenaica,H,1;0;0
Dioscorea quartiniana,H,1;0;0
Dioscorea quinqueloba,H,1;0;0
Dioscorea remotiflora,H,1;0;0
Dioscorea rockii,H,1;0;0
Dioscorea rotundata,H,1;0;0
Dioscorea sagittifolia,H,1;0;0
Dioscorea sansibarensis,H,2;0;0
Dioscorea saxatilis,H,1;0;0
Dioscorea schimperiana,H,2;0;0
Dioscorea septemloba,H,1;0;0
Dioscorea sinoparviflora,H,1;0;0
Dioscorea smilacifolia,H,1;0;0
Dioscorea soso,H,4;0;0
Dioscorea spiculiflora,H,1;0;0
Dioscorea spongiosa,H,1;0;0
Dioscorea subcalva,H,1;0;0
Dioscorea subhastata,H,1;0;0
Dioscorea sylvatica,H,2;0;0
Dioscorea tentaculigera,H,1;0;0
Dioscorea tenuipes,H,2;0;0
Dioscorea togoensis,H,1;0;0
Dioscorea tokoro,H,2;0;0
Dioscorea transversa,H,5;0;0
Dioscorea trichantha,H,2;0;0
Dioscorea trifida,H,1;0;0
Dioscorea triphylla,H,1;0;0
Dioscorea villosa,H,1;0;0
Dioscorea wallichii,H,1;0;0
Dioscorea zingiberensis,H,2;0;0
Dioscoreophyllum cumminsii,variable,0;1;0
Diosma sabulosa,W,0;0;1
Diospyros abyssinica,W,0;0;3
Diospyros aculeata,W,0;0;1
Diospyros adenophora,W,0;0;2
Diospyros alboflavescens,W,0;0;3
Diospyros amazonica,W,0;0;1
Diospyros amboinensis,W,0;0;1
Diospyros andamanica,W,0;0;1
